Labelling_Compliance,Display_Compliance,Branding_Compliance,Brand_Authenticity,Info_Accuracy,Image_Availability,Pricing_Info,Descriptions,Score
0.04872488080912729,0.6905217829138505,0.39574151649323897,0.0049676848041296795,0.7374661572889655,0.9754125259449786,0.3062642161668394,0.49574163513862457,53.28867947441919
0.28910965978981684,0.779246629250854,0.5952190691541637,0.5852012705978576,0.991410908006118,0.6447651119070914,0.7424063292222233,0.5638871740885208,74.74505182520187
0.7209663468312298,0.047229130005625786,0.4326731561058632,0.34964726983312655,0.8444962240835847,0.31988668698565914,0.15100641181890329,0.4068736453664593,42.61019416837617
0.021616249915949792,0.0745612011704414,0.15286971031914565,0.4538988277374828,0.7496125872748132,0.7903426179436518,0.26959586457605034,0.6013118586688305,46.044864665017855
0.20592276526743902,0.6048445389025288,0.8544956642474094,0.29253149920793964,0.4065235404340829,0.017587654975008582,0.5097182070774624,0.7032450613622347,48.949951346312524
0.0507732566953768,0.7123500026732243,0.3593340703796415,0.6555555535452797,0.06925755859446903,0.5518685933394677,0.9860403350289115,0.6300816181385902,62.49914409125044
0.30227189396461684,0.15077454817162717,0.10231052972199373,0.49167565114064393,0.1875627141134386,0.6213710335224116,0.39160112407760495,0.9012273860474134,45.843295392685405
0.6639102946247,0.6147635745007861,0.037249817803254426,0.8167978981586694,0.7754258217128089,0.2750618699995472,0.19428926049203166,0.4768481403381335,53.70660804023956
0.30811439323687884,0.1508509880160348,0.45593234608796673,0.36354242914209145,0.5652326866875919,0.3879328484182477,0.8204456486288891,0.09946297633688272,46.189487955886996
0.5835912762185987,0.4617322192499923,0.12814839176373083,0.2429424780007743,0.887086281321339,0.8767841398002537,0.3170412801799878,0.26517636500995445,53.33355354647305
0.06957095461260054,0.9802632788472591,0.7037350320896826,0.5314549286428287,0.9725406863573596,0.9859940469461522,0.5323724553774947,0.927498068731709,83.19771449569522
0.8674044839930883,0.8435191578068069,0.06339631150714065,0.767841999482552,0.9183449099250861,0.13953886490507528,0.5447047373853733,0.4080951464475592,61.87480190282422
0.13324051925174774,0.6919147835529168,0.003030924966509696,0.935431903629896,0.6903394402951439,0.9410867055929047,0.5781460771130742,0.12824119991844063,66.07985858766729
0.17812466155949835,0.46279892782768084,0.08914943212552306,0.26247512993075295,0.20310978211056419,0.4153128283017069,0.585060263090799,0.8959683367327568,43.413495683172016
0.4959295498261558,0.9167736205660134,0.8058622799538673,0.06851284368172861,0.7580290143153408,0.4955604985920833,0.22496839163117877,0.5805656968274753,58.84960624858706
0.8636996445582236,0.7325674873082761,0.7011904444312774,0.3835954243891473,0.45364340053701413,0.7221056950502384,0.1154285286807446,0.39769930697616407,62.48554440632749
